created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,followers_count,Wed Dec 13 08:01:28 +0000 2023,1734845980246503760,Kes covid-19 naik hampir sekali ganda kepada 12 757 kes pada minggu 49 (3 Dis-9 Dis 2023)berbanding minggu 48 (26 Nov-2 Dis 2023) -KP Kesihatan https://t.co/DOI7p1aZx9,91,10,1115,619,in,1060440104672550912,1734845980246503760.1,redzuanNewsMPB,https://twitter.com/redzuanNewsMPB/status/1734845980246503760,https://pbs.twimg.com/media/GBNpAqvbgAApWvO.jpg,"Selangor, Malaysia",62069,Thu Dec 14 13:21:37 +0000 2023,1735288939295191146,Jika ada peluang untuk dapatkan dos penggalak COVID-19  ambillah.,14,4,107,269,177804792,1735288939295191146.1,khairul_hafidz,https://twitter.com/khairul_hafidz/status/1735288939295191146,Unnamed: 12,Malaysia,248165,Fri Dec 15 22:48:34 +0000 2023,1735794001377403229,COVID naik lagi! Ayo Vaksinasi sampai 100 kali!  Lanjutkan kebodohan kalian! https://t.co/32HkDXxu0x,30,179,596,1478,1502822366946402304,1735794001377403229.1,DokterTifa,https://twitter.com/DokterTifa/status/1735794001377403229,https://pbs.twimg.com/media/GBbHchHaoAA___l.jpg,Unnamed: 13,117053,Sun Dec 17 12:01:25 +0000 2023,1736355920014098496,Jumlah kes COVID-19 pada minggu lepas (10-16 Dis) meningkat kepada  20 696 kes berbanding 12 757 pada minggu sebelumnya.,145,1466,1736355920014098496.1,https://twitter.com/redzuanNewsMPB/status/1736355920014098496,62049,Mon Dec 18 13:40:57 +0000 2023,1736743353436565941,covid ternyata 🤣 https://t.co/8fORkqBHjs,7,120,11,159,1666825159,1736743353436565941.1,hafifahlr,https://twitter.com/hafifahlr/status/1736743353436565941,https://pbs.twimg.com/media/GBom3s9aUAAamtR.jpg,jawa timur,11129,Tue Dec 19 11:00:01 +0000 2023,1737065240653914279,Kes COVID dh mula meningkat kan korangg😪maarilah Kita standby stock facemask sesiap😷  Yg duckbill ni selesa dipakai korang..tak lemas bila pakai  tali dia pon x mudah putus🌷 https://t.co/80GZyH5anX,3,1,94,1682971276737122304,1737065240653914279.1,mamadeejaa,https://twitter.com/mamadeejaa/status/1737065240653914279,https://pbs.twimg.com/ext_tw_video_thumb/1737065224199712769/pu/img/wQV1WVzFQeOmg9vl.jpg,620,Wed Dec 20 21:59:48 +0000 2023,1737593668801036525,@cheyfluff Sebelum dan sesudah..😆 https://t.co/SwBUcwkgYj,1.1,9,44,1410227796555620355,1737334520318480489,covid_hater,https://twitter.com/covid_hater/status/1737593668801036525,https://pbs.twimg.com/ext_tw_video_thumb/1737593597573439488/pu/img/Pgzux3cHolpGXWUR.jpg,2791,Thu Dec 21 14:20:30 +0000 2023,1737840470099911079,💭 GUYSSS KALIAN PUNYA KEBIASAAN YG KEBAWA SAMPE SEKARANG SEJAK COVID GA SIH?,133,402,196,1314975287294083073,1737840470099911079.1,convomf,https://twitter.com/convomf/status/1737840470099911079,Fri Dec 22 23:10:13 +0000 2023,1738336166766944706,Bangun pagi dengan positif covid. 😭,0,28,0.1,35,1374549248352522240,1738336166766944706.1,ketiakhangus,https://twitter.com/ketiakhangus/status/1738336166766944706,Sat Dec 23 17:17:00 +0000 2023,1738609662738784338,Mana nyangka gara2 pandemi mulai dengerin mereka akhirnya kesampaian liat lgsg pake mata sendiri 😭😭 https://t.co/TgViLxEQ9s,13,345,25052102,1738609662738784338.1,wbqkdlf,https://twitter.com/wbqkdlf/status/1738609662738784338,https://pbs.twimg.com/media/GCDIMflaYAAZ-1-.jpg,+6221,Sun Dec 24 03:20:06 +0000 2023,1738761438574117091,Starlympic tahun ini menyenangkan soalnya schoolympics pas sebelum pandemi itu masih sepi dan susah fancam 😭 https://t.co/unXlDnnAUw,92,339,2570,1256937512309682179,1738761438574117091.1,sensesual,https://twitter.com/sensesual/status/1738761438574117091,https://pbs.twimg.com/media/GCFST7eaoAAZVCl.jpg,It was @a_roused,Mon Dec 25 13:05:24 +0000 2023,1739271121114161482,Kalau lihat teman-teman yang kerja di kota  kek merasa hidupnya gemerlapan.  Tapi keingat masa2 pandemi  ketika balik lagi ke desa. Rupanya hidup di desa enak  ga kesepian  ga pernah lagi begadang  makan 3x sehari  bisa gym  penghasilan lebih tinggi dr pada di jogja kota.🤣,2,0.2,227963394,1739271121114161482.1,Aizamericano,https://twitter.com/Aizamericano/status/1739271121114161482,yk empire,Wed Dec 27 12:33:10 +0000 2023,1739987786084819000,siapapun dokter ilmuan orang pintar dukun bikinin obat untuk nurul plis kek nurulcetamol kek soale ni makin banyak jir lama lama pandemi NURUL,434,128,1406,7258,1191374387594706944,1739987786084819000.1,v3gana,https://twitter.com/v3gana/status/1739987786084819000,he/they,Thu Dec 28 06:14:59 +0000 2023,1740255001505857906,Dua kata lucu minggu ini: PANDEMI NURUL,786488060640833537,1740255001505857906.1,nattraissa,https://twitter.com/nattraissa/status/1740255001505857906,Rumah Tuhan
2023-12-12 14:35:55+00:00,1.7345828599928998e+18,Stay dgn busu mengingatkn aku waktu sakit dulu. Mulut penuh ulser  batuk  demam  muntah  cirit  ruam badan dan mcm2. Sampai busu paksa pergi kk utk check what’s wrong with me. Time tu covid and busu tunggu dkt luar pintu kk. Masa ni lah aku tahu yg aku positive HIV. 1nov,0.0,7.0,2.0,95.0,in,1.465636508157694e+18,1.7345828599928998e+18,dod_dodnov21,https://twitter.com/dod_dodnov21/status/1734582859992899775,,Malaysia,8430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 13:32:17+00:00,1.7345668447515446e+18,BREAKING: Kuna ugonjwa umezuka kwa kasi kubwa sana. Watu kwa maelfu wanaumwa.Corona imerudi. Inaonekana ni mafua ya kawaida ila ni COVID-19.Siyo kawaida mtu aumwe mafua karibia wiki 2. Dalili zote ni za COVID. Watanzania chukueni tahadhari maana viongozi wenu mnawajua vichwa vyao https://t.co/PhnKyNJfSZ,3.0,19.0,38.0,181.0,in,1.4250933073786388e+18,1.7345668447515446e+18,TanzaniaLeaks,https://twitter.com/TanzaniaLeaks/status/1734566844751544514,https://pbs.twimg.com/ext_tw_video_thumb/1734566697657405440/pu/img/s9zW_YS_P9VsfwZh.jpg,,64294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 15:32:14+00:00,1.7345970325208965e+18,"@rahmimimi trash tres aj situ.. ni liat laporan g ttg kucing liar  ditindaklanjuti ga sampe 2 hari... sejak saat itu bebas ee kucing di lingkungan... jaman covid kenceng2nya  vaksin via JAKI itu prosesnya lebih simpel... we  Jakartans""?? lo doang yg ga tau cara makenya wkwkwk... jgn ajak2 https://t.co/EXOmIbnicy""",6.0,4.0,43.0,366.0,in,49622050.0,1.7345628862558008e+18,ijo23,https://twitter.com/ijo23/status/1734597032520896636,https://pbs.twimg.com/media/GBKGzfPaEAA-Gvd.jpg,"Jakarta, Indonesia",132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 05:05:12+00:00,1.734439236651397e+18,Please guys jaga kesehatan terus yaa. Ada banyak banget agenda di akhir tahun mulai dari ngikutin kampanye capres sampe liburan akhir tahun yang sayang banget kamu lewatkan kalo kamu kena Covid-19 (lagi). https://t.co/f1sJRmobq4,1.0,1.0,40.0,64.0,in,1.1625452996146627e+18,1.734439236651397e+18,catchmeupid,https://twitter.com/catchmeupid/status/1734439236651397183,https://pbs.twimg.com/media/GBH3Sp9aEAAc9I9.jpg,,225183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 13:38:26+00:00,1.7345683958348964e+18,Meh nak suggest ubat demam selsema batuk yg baik punya. Kat kk xde  biase beli kat farmasi. Mse kena covid hari tu makan 2hari dah kebah &amp; hilang selsema. Setiap kali demam selsema teruk mmg aku cari ubat ni. Ubat yg ade kat klinik sume tak jalan. https://t.co/OyL6Eo8s9j,0.0,4.0,15.0,39.0,in,1.1158320949058396e+18,1.7345683958348964e+18,StayMoon0910,https://twitter.com/StayMoon0910/status/1734568395834896424,https://pbs.twimg.com/media/GBJsvqHa8AALra9.jpg,MINCHAN CRUMBS,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 16:41:25+00:00,1.7346144419273646e+18,JooE cerita dulu orangtuanya tuh beli mobil impor soalnya ngira dia dan Momoland bakal makin sukses terus kedepannya.  Tapi abis itu Covid-19 melanda dan Momoland ...... 😭  Akhirnya orangtuanya jual lagi mobil tersebut.  https://t.co/NKUpWPgInZ https://t.co/UPDgYYqCnY,30.0,10.0,96.0,1434.0,in,1211794832.0,1.7346144419273646e+18,tang__kira,https://twitter.com/tang__kira/status/1734614441927364711,https://pbs.twimg.com/media/GBKWnzTa8AAZEuv.png,@tmiharini,155560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 06:20:30+00:00,1.7344581855521997e+18,Gak kurang banyak ya obatnya 😭😭 gpp biar cepet sembuh!! Covid warrior season 2 ! 😎😎😎😎 https://t.co/wsLrJ6H2OB,0.0,16.0,1.0,21.0,in,1.28840100586906e+18,1.7344581855521997e+18,Sashayi89,https://twitter.com/Sashayi89/status/1734458185552199752,https://pbs.twimg.com/media/GBIIhJXaEAEUV2_.jpg,Thailand,2695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 10:35:28+00:00,1.734522347657511e+18,Masih ingat kan dengan kegiatan berjemur pas pandemi lalu?   Nah ini ada netizen yang bertanya  kalau Covid ada kegiatan berjemur  haruskah pasien tuberkulosis juga melakukan hal serupa?,0.0,2.0,16.0,64.0,in,1.1185198704238879e+18,1.734522347657511e+18,erlinaburhan,https://twitter.com/erlinaburhan/status/1734522347657510935,,,7544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 16:30:16+00:00,1.7346116367938112e+18,@MursidTri @kikysaputrii Nih kenyataannya 5 tahun di tngah dilanda covid.. https://t.co/g74TC4MY5K,0.0,1.0,5.0,44.0,in,2232222276.0,1.734568455725343e+18,brochandra,https://twitter.com/brochandra/status/1734611636793811205,https://pbs.twimg.com/media/GBKUFkZbMAAtwlf.jpg,"Jakarta Barat, DKI Jakarta",146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 15:25:24+00:00,1.7345953113379105e+18,@rahmimimi gw warga jkt  kena covid  lapor ke jaki   lgsg di proses  ditangani  dan dibawa ke Rs Covid berkat lapor jaki… jaki udh menyelamatkan nyawa… https://t.co/eZeHZxiRsG,0.0,1.0,7.0,116.0,in,155097052.0,1.7345628862558008e+18,ezha0105,https://twitter.com/ezha0105/status/1734595311337910614,https://pbs.twimg.com/media/GBKFPWFbIAAgJ7_.jpg,disini,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-12 09:40:07+00:00,1.7345084189567145e+18,"Ule umaskini wa kupindukia uliokuwa unawakabili watu wetu na wenyewe pia umeshuka kutoka asilimia 19% miaka ya 2000 mpaka asilimia 9% katika miaka hii tuliyonayo na hii pengine tungekuwa tumeenda mbele zaidi  tumerudi nyuma kidogo kutokana na janga la COVID 19 ambalo hatukuwa… https://t.co/uK19PrvDgn""",3.0,27.0,6.0,95.0,in,169557169.0,1.7345084189567145e+18,eastafricatv,https://twitter.com/eastafricatv/status/1734508418956714384,https://pbs.twimg.com/media/GBI1-m1W8AARhTa.jpg,"Dar es salaam, Tanzania",1664475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
